sku,group_skus.0,options.0,options.1,group,fields.name,fields.brand,fields.description,fields.material,fields.pattern,fields.bullet_1,fields.bullet_2,fields.bullet_3,fields.bullet_4,fields.bullet_5,fields.target_posting_template,fields.target_listing_action,fields.garment_rise,fields.garment_waist_closure,fields.pattern_group,fields.swimwear_style,fields.textile_dry_recommendation,fields.textile_wash_recommendation,fields.upf_rating,fields.subtype,fields.gender,fields.size_grouping,fields.audience,fields.garment_back_type,fields.garment_closure_type,fields.garment_sleeve_length_type,fields.sheerness,fields.bra_cup_construction,fields.coverage,fields.tax,fields.garment_construction_details,fields.season,options.0,options.1,group,barcode,name,fields.bullet_4_x,fields.bullet_5_x,fields.weight.value,fields.package_height.value,fields.package_width.value,fields.package_length.value,fields.weight.1,fields.package_weight.value,fields.target_color,fields.abn_size,fields.bullet_4_y,fields.bullet_5_y,fields.color,fields.size
variant-7,,size,color,product,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,Coppersuit,"You'll love how you look and feel in our unique Coppersuit Cross Back One Piece Swimsuit. This stylish and sleek one piece swimsuit is designed with copper-infused fabric for antibacterial and odor-control features that will keep you feeling fresh all day, in and out of water. The one piece also features a flattering cross back cut to accentuate your figure and removable cups for adjustable support. Pair this one piece with any swimsuit cover up for the perfect look.",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",Removable cups,One Piece Swimsuits New,FULL,,,Solid,Over the Shoulder,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,One Piece Swimsuits,Female,Womens,Adult (18 Years and Up),open,Pull-On,Sleeveless,,,Full,,,Vacation,size,color,product,variant-7,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,,,,,,,,,,,,,,
CSO001-BLK-S,variant-7,,,variant,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,Coppersuit,"You'll love how you look and feel in our unique Coppersuit Cross Back One Piece Swimsuit. This stylish and sleek one piece swimsuit is designed with copper-infused fabric for antibacterial and odor-control features that will keep you feeling fresh all day, in and out of water. The one piece also features a flattering cross back cut to accentuate your figure and removable cups for adjustable support. Pair this one piece with any swimsuit cover up for the perfect look.",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,,,One Piece Swimsuits New,FULL,,,Solid,Over the Shoulder,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,One Piece Swimsuits,Female,Womens,Adult (18 Years and Up),open,Pull-On,Sleeveless,,,Full,,,Vacation,,,variant,1.95609E+11,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",Removable cups,0.4,1,10,8,0.4,0.5,Black,Small,,,Black,S
CSO001-MIDN-S,variant-7,,,variant,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,Coppersuit,"You'll love how you look and feel in our unique Coppersuit Cross Back One Piece Swimsuit. This stylish and sleek one piece swimsuit is designed with copper-infused fabric for antibacterial and odor-control features that will keep you feeling fresh all day, in and out of water. The one piece also features a flattering cross back cut to accentuate your figure and removable cups for adjustable support. Pair this one piece with any swimsuit cover up for the perfect look.",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,,,One Piece Swimsuits New,FULL,,,Solid,Over the Shoulder,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,One Piece Swimsuits,Female,Womens,Adult (18 Years and Up),open,Pull-On,Sleeveless,,,Full,,,Vacation,,,variant,1.9561E+11,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",Removable cups,0.4,1,10,8,0.4,0.5,Blue,Small,,,Midnight,S
CSO001-MERL-S,variant-7,,,variant,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,Coppersuit,"You'll love how you look and feel in our unique Coppersuit Cross Back One Piece Swimsuit. This stylish and sleek one piece swimsuit is designed with copper-infused fabric for antibacterial and odor-control features that will keep you feeling fresh all day, in and out of water. The one piece also features a flattering cross back cut to accentuate your figure and removable cups for adjustable support. Pair this one piece with any swimsuit cover up for the perfect look.",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,,,One Piece Swimsuits New,FULL,,,Solid,Over the Shoulder,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,One Piece Swimsuits,Female,Womens,Adult (18 Years and Up),open,Pull-On,Sleeveless,,,Full,,,Vacation,,,variant,1.9561E+11,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",Removable cups,0.4,1,10,8,0.4,0.5,Red,Small,,,Merlot,S
CSO001-BLK-M,variant-7,,,variant,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,Coppersuit,"You'll love how you look and feel in our unique Coppersuit Cross Back One Piece Swimsuit. This stylish and sleek one piece swimsuit is designed with copper-infused fabric for antibacterial and odor-control features that will keep you feeling fresh all day, in and out of water. The one piece also features a flattering cross back cut to accentuate your figure and removable cups for adjustable support. Pair this one piece with any swimsuit cover up for the perfect look.",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,,,One Piece Swimsuits New,FULL,,,Solid,Over the Shoulder,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,One Piece Swimsuits,Female,Womens,Adult (18 Years and Up),open,Pull-On,Sleeveless,,,Full,,,Vacation,,,variant,1.95609E+11,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",Removable cups,0.4,1,10,8,0.4,0.5,Black,Medium,,,Black,M
CSO001-MIDN-M,variant-7,,,variant,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,Coppersuit,"You'll love how you look and feel in our unique Coppersuit Cross Back One Piece Swimsuit. This stylish and sleek one piece swimsuit is designed with copper-infused fabric for antibacterial and odor-control features that will keep you feeling fresh all day, in and out of water. The one piece also features a flattering cross back cut to accentuate your figure and removable cups for adjustable support. Pair this one piece with any swimsuit cover up for the perfect look.",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,,,One Piece Swimsuits New,FULL,,,Solid,Over the Shoulder,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,One Piece Swimsuits,Female,Womens,Adult (18 Years and Up),open,Pull-On,Sleeveless,,,Full,,,Vacation,,,variant,1.9561E+11,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",Removable cups,0.4,1,10,8,0.4,0.5,Blue,Medium,,,Midnight,M
CSO001-MERL-M,variant-7,,,variant,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,Coppersuit,"You'll love how you look and feel in our unique Coppersuit Cross Back One Piece Swimsuit. This stylish and sleek one piece swimsuit is designed with copper-infused fabric for antibacterial and odor-control features that will keep you feeling fresh all day, in and out of water. The one piece also features a flattering cross back cut to accentuate your figure and removable cups for adjustable support. Pair this one piece with any swimsuit cover up for the perfect look.",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,,,One Piece Swimsuits New,FULL,,,Solid,Over the Shoulder,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,One Piece Swimsuits,Female,Womens,Adult (18 Years and Up),open,Pull-On,Sleeveless,,,Full,,,Vacation,,,variant,1.9561E+11,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",Removable cups,0.4,1,10,8,0.4,0.5,Red,Medium,,,Merlot,M
CSO001-BLK-L,variant-7,,,variant,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,Coppersuit,"You'll love how you look and feel in our unique Coppersuit Cross Back One Piece Swimsuit. This stylish and sleek one piece swimsuit is designed with copper-infused fabric for antibacterial and odor-control features that will keep you feeling fresh all day, in and out of water. The one piece also features a flattering cross back cut to accentuate your figure and removable cups for adjustable support. Pair this one piece with any swimsuit cover up for the perfect look.",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,,,One Piece Swimsuits New,FULL,,,Solid,Over the Shoulder,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,One Piece Swimsuits,Female,Womens,Adult (18 Years and Up),open,Pull-On,Sleeveless,,,Full,,,Vacation,,,variant,1.95609E+11,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",Removable cups,0.4,1,10,8,0.4,0.5,Black,Large,,,Black,L
CSO001-MIDN-L,variant-7,,,variant,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,Coppersuit,"You'll love how you look and feel in our unique Coppersuit Cross Back One Piece Swimsuit. This stylish and sleek one piece swimsuit is designed with copper-infused fabric for antibacterial and odor-control features that will keep you feeling fresh all day, in and out of water. The one piece also features a flattering cross back cut to accentuate your figure and removable cups for adjustable support. Pair this one piece with any swimsuit cover up for the perfect look.",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,,,One Piece Swimsuits New,FULL,,,Solid,Over the Shoulder,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,One Piece Swimsuits,Female,Womens,Adult (18 Years and Up),open,Pull-On,Sleeveless,,,Full,,,Vacation,,,variant,1.9561E+11,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",Removable cups,0.4,1,10,8,0.4,0.5,Blue,Large,,,Midnight,L
CSO001-MERL-L,variant-7,,,variant,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,Coppersuit,"You'll love how you look and feel in our unique Coppersuit Cross Back One Piece Swimsuit. This stylish and sleek one piece swimsuit is designed with copper-infused fabric for antibacterial and odor-control features that will keep you feeling fresh all day, in and out of water. The one piece also features a flattering cross back cut to accentuate your figure and removable cups for adjustable support. Pair this one piece with any swimsuit cover up for the perfect look.",Nylon,Solid,82% COPPER INFUSED NYLON 18% SPANDEX,"Our Model is 5'10 wearing a size medium. She has a 34"" bust, 24"" waist and 35.5"" hips. She usually wears a standard dress size",Copper-Infused,,,One Piece Swimsuits New,FULL,,,Solid,Over the Shoulder,Line Dry or Lay Flat to Dry,Hand Wash,UPF 50+,One Piece Swimsuits,Female,Womens,Adult (18 Years and Up),open,Pull-On,Sleeveless,,,Full,,,Vacation,,,variant,1.9561E+11,Coppersuit - Women's Convertible Cross Back One Piece Swimsuit,"Antibacterial ,Fights Odor,May Improve Blood Flow,Durable Fabric",Removable cups,0.4,1,10,8,0.4,0.5,Red,Large,,,Merlot,L
